param tf := 48;

param p :=

 1 33.88

 2 39.24

 3 29.31

 4 29.78

 5 31.43

 6 31.73

 7 28.29

 8 28.51

 9 27.31

 10 35.32

 11 35.37

 12 37.29

 13 33.36

 14 33.4

 15 32.09

 16 32.23

 17 50.4

 18 177.4

 19 96.97

 20 100.01

 21 99.65

 22 58.75

 23 53.52

 24 34.08

 25 34.38

 26 37.73

 27 36.69

 28 33.51

 29 46.5

 30 40.52

 31 155.99

 32 155.84

 33 121.42

 34 155.61

 35 146.11

 36 106.88

 37 102.1

 38 113.21

 39 67.11

 40 39.09

 41 75.64

 42 178.23

 43 172.34

 44 217.58

 45 220.2

 46 168.82

 47 126.34

 48 175.13

;
