node_id,hour,te,q_rem,penalty_cost,revenue
45565861,17520,338.5487,0.9886,4,16701.0618
45565861,26280,497.5517,0.9832,4,24713.6696
45565861,35040,630.0768,0.9788,4,30873.9562
45565861,43800,719.0728,0.9758,4,35261.5857
45565861,52560,786.5449,0.9735,4,39388.0822
45565861,61320,975.9948,0.9671,4,65629.8902
45565861,70080,1130.6090,0.9619,4,77119.3952
45565861,78840,1226.0764,0.9587,4,83012.8707
45565861,87600,1282.4143,0.9568,4,85285.7264
45565861,87864,1290.3852,0.9565,4,85702.0174
45565861,8760,191.9787,0.9935,5,10796.1828
45565861,17520,235.8031,0.9920,5,12219.9944
45565861,26280,340.8815,0.9885,5,18177.7187
45565861,35040,436.2836,0.9853,5,22556.1022
45565861,43800,496.0443,0.9833,5,25818.5448
45565861,52560,542.7682,0.9817,5,29067.9083
45565861,61320,691.3202,0.9767,5,52840.6542
45565861,70080,801.1721,0.9730,5,62333.7300
45565861,78840,865.1915,0.9708,5,67004.4876
45565861,87600,895.2577,0.9698,5,68657.1984
45565861,87864,899.7035,0.9697,5,68980.3017
45565861,8760,138.0564,0.9953,6,8185.0133
45565861,17520,163.1064,0.9945,6,9081.2310
45565861,26280,237.5598,0.9920,6,13590.0231
45565861,35040,306.8572,0.9897,6,16673.9568
45565861,43800,350.1249,0.9882,6,19124.7696
45565861,52560,383.4763,0.9871,6,21760.9156
45565861,61320,502.8223,0.9831,6,43511.7590
45565861,70080,584.8163,0.9803,6,51561.0510
45565861,78840,632.0073,0.9787,6,55389.1632
45565861,87600,650.9667,0.9781,6,56658.0208
45565861,87864,654.2809,0.9779,6,56923.1165
45565861,8760,104.1856,0.9965,7,6251.4540
45565861,17520,118.3251,0.9960,7,6847.2054
45565861,26280,169.0490,0.9943,7,10396.6348
45565861,35040,216.5155,0.9927,7,12592.2237
45565861,43800,244.0697,0.9918,7,14491.1374
45565861,52560,269.4441,0.9909,7,16660.5660
45565861,61320,369.1634,0.9876,7,36753.3238
45565861,70080,435.0246,0.9853,7,43656.9289
45565861,78840,471.0660,0.9841,7,46837.7682
45565861,87600,485.0296,0.9837,7,47861.6196
45565861,87864,487.7755,0.9835,7,48077.3667
40243821,8760,1248.7882,0.9578,1,30650.9090
40243821,17520,2219.2163,0.9251,1,42216.4474
40243821,26280,3195.5643,0.8922,1,57039.5670
40243821,35040,4062.5795,0.8630,1,71311.8122
40243821,43800,4842.7332,0.8367,1,82340.5179
40243821,52560,5594.9513,0.8114,1,92066.1705
40243821,61320,6360.6668,0.7856,1,110938.4423
40243821,70080,7161.6793,0.7586,1,126575.6140
40243821,78840,7852.3551,0.7353,1,135921.5706
40243821,87600,8518.4010,0.7129,1,143904.9797
40243821,87864,8542.9170,0.7120,1,144364.1411
40243821,8760,544.2126,0.9816,2,18411.1990
40243821,17520,785.6944,0.9735,2,23240.7109
40243821,26280,1082.9927,0.9635,2,30802.5094
40243821,35040,1334.3063,0.9550,2,39471.6160
40243821,43800,1534.6510,0.9483,2,45781.1606
40243821,52560,1732.9301,0.9416,2,50879.2790
40243821,61320,2044.1003,0.9311,2,65186.0240
40243821,70080,2325.7725,0.9216,2,76789.4733
40243821,78840,2529.6893,0.9147,2,82503.6388
